defined_class	cross_species_classes
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_1	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_1
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_11	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_6
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_40	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_14
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_58	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_21
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_72	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_24
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_97	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_31
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_101	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_35
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_112	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_33
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_124	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_40
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_125	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_43
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_126	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_44
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_127	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_45
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_137	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_36
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_138	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_53
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_139	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_37
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_143	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_57
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_144	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_58
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_145	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_59
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_146	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_60
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_152	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_3
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_153	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_4
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_154	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_7
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_155	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_5
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_156	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_8
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_157	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_2
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_158	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_9
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_159	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_10
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_160	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_11
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_161	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_12
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_162	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_13
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_163	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_15
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_164	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_16
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_165	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_18
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_166	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_17
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_167	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_19
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_168	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_20
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_169	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_22
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_170	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_23
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_171	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_25
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_172	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_28
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_173	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_29
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_174	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_27
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_175	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_30
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_176	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_26
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_177	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_34
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_178	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_32
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_180	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_39
