defined_class	Classification
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_1	CL:4023011
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_2	CL:4023011
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_3	CL:4023011
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_4	CL:4023011
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_5	CL:4023011
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_6	CL:4023011
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_7	CL:4023011
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_8	CL:4023011
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_14	CL:4023011
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_15	CL:4023011
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_9	CL:4023015
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_10	CL:4023015
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_11	CL:4023015
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_12	CL:4023015
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_13	CL:4023015
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_16	CL:4023015
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_17	CL:4023015
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_18	CL:4023015
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_79	CL:0000128
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_119	CL:0000128
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_120	CL:0000128
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_121	CL:0000128
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_79	CL:0002453
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_117	CL:0002453
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_118	CL:0002453
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_119	CL:0002453
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_120	CL:0002453
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_79	CL:0000125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_118	CL:0000125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_119	CL:0000125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_120	CL:0000125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_121	CL:0000125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_122	CL:0000125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_123	CL:0000125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_124	CL:0000125
